ID,City_ZhT,City_Py,Prov_Py,Prov_ZhT,Lat,Long,Level,Level_Eng,City_ZhS,Source
918,友誼,Youyi,Heilongjiang,黑龍江,46.8048,130.3192,,,友谊,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
922,肇東,Zhaodong,Heilongjiang,黑龍江,46.0635,125.9773,,,肇东,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1199,洞口,Dongkou,Hunan,湖南,27.0527,110.5361,,,洞口,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1220,花垣,Huayuan,Hunan,湖南,28.5881,109.4758,,,花垣,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1223,津市,Jinshi,Hunan,湖南,26.418,110.8002,,,津市,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1229,臨澧,Linli,Hunan,湖南,29.45,111.65,,,临澧,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1285,芷江,Zhijiang,Hunan,湖南,27.4409,109.678,,,芷江,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1296,豐縣,Fengxian,Jiangsu,江蘇,34.7039,116.5872,,,丰县,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1342,銅山,Tongshan,Jiangsu,江蘇,34.261,117.1859,,,铜山,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1369,都昌,Duchang,Jiangxi,江西,29.266,116.1863,,,都昌,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1375,分宜,Fenyi,Jiangxi,江西,27.8112,114.668,,,分宜,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1432,宜春,Yichun,Jiangxi,江西,27.8041,114.383,,,宜春,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1446,東豐,Dongfeng,Jilin,吉林,42.6403,125.5118,,,东丰,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1454,靖宇,Jingyu,Jilin,吉林,42.3727,126.8011,,,靖宇,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1459,梨樹,Lishu,Jilin,吉林,43.3047,124.3278,,,梨树,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1461,柳河,Liuhe,Jilin,吉林,42.2789,125.7173,1963,,柳河,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1476,通榆,Tongyu,Jilin,吉林,44.8216,123.0747,,,通榆,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1478,汪清,Wangqing,Jilin,吉林,43.3248,129.7343,17814,,汪清,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1482,鎮赉,Zhenlai,Jilin,吉林,45.8495,123.2973,,,镇赉,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1495,大窪,Dawa,Liaoning,遼甯,40.9937,122.068,,,大洼,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1723,巨野,Juye,Shandong,山東,35.3947,116.0883,,,巨野,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1732,臨邑,Linyi,Shandong,山東,35.0606,118.3425,,,临邑,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1740,甯津,Ningjin,Shandong,山東,37.6498,116.7933,,,宁津,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1742,甯陽,Ningyang,Shandong,山東,35.7701,116.8056,,,宁阳,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1752,郯城,Tancheng,Shandong,山東,34.6152,118.338,,,郯城,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1759,汶上,Wenshang,Shandong,山東,35.7284,116.4912,,,汶上,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1765,陽信,Yangxin,Shandong,山東,37.6447,117.5767,,,阳信,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1771,郓城,Yuncheng,Shandong,山東,35.5983,115.9347,,,郓城,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1849,婁煩,Loufan,Shanxi,山西,38.0918,111.8072,,,娄烦,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1856,蒲城,Pucheng,Shanxi,山西,36.4136,111.095,,,蒲城,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1908,巴塘,Batang,Sichuan,四川,30.0066,99.1072,,,巴塘,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1912,長甯,Changning,Sichuan,四川,28.5777,104.9209,,,长宁,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1931,甘孜,Ganzi,Sichuan,四川,31.6274,99.9941,,,甘孜,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1945,會東,Huidong,Sichuan,四川,26.6374,102.5757,,,会东,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1961,筠連,Junlian,Sichuan,四川,28.1711,104.5116,,,筠连,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1980,綿陽,Mianyang,Sichuan,四川,31.4669,104.7385,,,绵阳,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1990,納溪,Naxi,Sichuan,四川,28.7742,105.3649,,,纳溪,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
2006,仁和,Renhe,Sichuan,四川,26.4993,101.7386,,,仁和,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
2045,敘永,Xuyong,Sichuan,四川,28.1699,105.4345,,,叙永,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
2096,拜城,Baicheng,Xinjiang,新疆,41.7739,81.8689,,,拜城,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
2106,達坂城,Dabancheng,Xinjiang,新疆,43.3583,88.32,,,达坂城,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
2108,額敏,Emin,Xinjiang,新疆,46.5257,83.6332,,,额敏,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
2110,阜康,Fukang,Xinjiang,新疆,44.1523,87.9793,,,阜康,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
2134,輪台,Luntai,Xinjiang,新疆,41.778,84.2465,,,轮台,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
2144,若羌,Ruoqiang,Xinjiang,新疆,39.02,88.1647,,,若羌,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
2169,新源,Xinyuan,Xinjiang,新疆,43.4511,83.1478,,,新源,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
2172,焉耆,Yanqi,Xinjiang,新疆,42.062,86.5663,,,焉耆,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
2349,隴川,Longchuan,Yunnan,雲南,25.1615,101.2942,,,陇川,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
2466,北侖,Beilun,Zhejiang,浙江,29.9192,121.8378,市,,北仑,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
2475,奉化,Fenghua,Zhejiang,浙江,29.6563,121.4064,,,奉化,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
2496,甯海,Ninghai,Zhejiang,浙江,29.2892,121.4247,,,宁海,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
2518,義烏,Yiwu,Zhejiang,浙江,29.3081,120.0698,,,义乌,https://en.wikipedia.org/wiki/List_of_cities_in_China; https://github.com/boyan01/ChinaRegionDistrict
1,安慶,Anqing,Anhui,安徽,30.531919,117.115101,市,Municipality,安庆,https://github.com/boyan01/ChinaRegionDistrict
2,蚌埠,Bangbu,Anhui,安徽,32.91663,117.388512,市,Municipality,蚌埠,https://github.com/boyan01/ChinaRegionDistrict
3,碧陽,Biyang,Anhui,安徽,29.9289,117.9464,,,碧阳,https://en.wikipedia.org/wiki/List_of_cities_in_China
4,亳州,Bozhou,Anhui,安徽,33.844592,115.77867,市,Municipality,亳州,https://github.com/boyan01/ChinaRegionDistrict
5,池州,Chizhou,Anhui,安徽,30.664779,117.491592,市,Municipality,池州,https://github.com/boyan01/ChinaRegionDistrict
6,滁州,Chuzhou,Anhui,安徽,32.255636,118.327944,市,Municipality,滁州,https://github.com/boyan01/ChinaRegionDistrict
7,盪城,Dangcheng,Anhui,安徽,34.4279,116.3766,,,盪城,https://en.wikipedia.org/wiki/List_of_cities_in_China
8,點布,Dianbu,Anhui,安徽,31.8731,117.458,,,点布,https://en.wikipedia.org/wiki/List_of_cities_in_China
9,定城,Dingcheng,Anhui,安徽,32.5161,117.6595,,,定城,https://en.wikipedia.org/wiki/List_of_cities_in_China
10,杜吉,Duji,Anhui,安徽,33.9977,116.8284,,,杜吉,https://en.wikipedia.org/wiki/List_of_cities_in_China
11,丰台城關鎮,Fengtai Chengguanzhen,Anhui,安徽,32.7082,116.7296,,,丰台城关镇,https://en.wikipedia.org/wiki/List_of_cities_in_China
12,鳳陽府城鎮,Fengyang Fuchengzhen,Anhui,安徽,32.8797,117.5447,,,凤阳府城镇,https://en.wikipedia.org/wiki/List_of_cities_in_China
13,阜南,Funan,Anhui,安徽,32.6584375081302,115.595459425729,,,阜南,https://en.wikipedia.org/wiki/List_of_cities_in_China
14,阜陽,Fuyang,Anhui,安徽,32.890479,115.814504,市,Municipality,阜阳,https://github.com/boyan01/ChinaRegionDistrict
15,富陽,Fuyang,Anhui,安徽,32.8986,115.8045,,,富阳,https://github.com/boyan01/ChinaRegionDistrict
16,扶餘,Fuyu,Anhui,安徽,30.15,116.1167,,,扶餘,https://en.wikipedia.org/wiki/List_of_cities_in_China
17,甘棠,Gantang,Anhui,安徽,30.2969,118.1306,,,甘棠,https://en.wikipedia.org/wiki/List_of_cities_in_China
18,高河,Gaohe,Anhui,安徽,30.7417,116.8426,,,高河,https://en.wikipedia.org/wiki/List_of_cities_in_China
19,國陽城關鎮,Guoyang Chengguanzhen,Anhui,安徽,33.5055,116.2308,,,国阳城关镇,https://en.wikipedia.org/wiki/List_of_cities_in_China
20,古樹,Gushu,Anhui,安徽,31.5605,118.4815,,,古树,https://en.wikipedia.org/wiki/List_of_cities_in_China
21,古鎮城關鎮,Guzhen Chengguanzhen,Anhui,安徽,33.3106,117.3106,,,古镇城关镇,https://en.wikipedia.org/wiki/List_of_cities_in_China
22,海陽,Haiyang,Anhui,安徽,29.7861,118.177,,,海阳,https://en.wikipedia.org/wiki/List_of_cities_in_China
23,合肥,Hefei,Anhui,安徽,31.820591,117.227219,市,Municipality,合肥,https://github.com/boyan01/ChinaRegionDistrict
24,螺旋線,Helixi,Anhui,安徽,30.6267,118.9861,,,螺旋线,https://github.com/boyan01/ChinaRegionDistrict
25,淮北,Huaibei,Anhui,安徽,33.955844,116.798265,市,Municipality,淮北,https://github.com/boyan01/ChinaRegionDistrict
26,淮南,Huainan,Anhui,安徽,32.587117,117.018399,市,Municipality,淮南,https://github.com/boyan01/ChinaRegionDistrict
27,懷遠城關鎮,Huaiyuan Chengguanzhen,Anhui,安徽,32.9589,117.1657,,,怀远城关镇,https://en.wikipedia.org/wiki/List_of_cities_in_China
28,歡峰,Huanfeng,Anhui,安徽,31.7167,118.1,,,欢峰,https://en.wikipedia.org/wiki/List_of_cities_in_China
29,黃山,Huangshan,Anhui,安徽,29.715185,118.338272,市,Municipality,黄山,https://github.com/boyan01/ChinaRegionDistrict
30,匯成,Huicheng,Anhui,安徽,29.8693,118.4336,,,匯成,https://en.wikipedia.org/wiki/List_of_cities_in_China
31,霍丘城關鎮,Huoqiu Chengguanzhen,Anhui,安徽,32.3547,116.2939,,,霍丘城关镇,https://en.wikipedia.org/wiki/List_of_cities_in_China
32,京川,Jingchuan,Anhui,安徽,30.6892,118.4043,,,京川,https://en.wikipedia.org/wiki/List_of_cities_in_China
33,景陽,Jingyang,Anhui,安徽,30.2919,118.5425,,,景阳,https://en.wikipedia.org/wiki/List_of_cities_in_China
34,金家莊,Jinjiazhuang,Anhui,安徽,31.7201,118.4895,,,金家庄,https://en.wikipedia.org/wiki/List_of_cities_in_China
35,金溪,Jinxi,Anhui,安徽,30.4323,116.2922,,,金溪,https://en.wikipedia.org/wiki/List_of_cities_in_China
36,吉山,Jishan,Anhui,安徽,30.9215,118.3302,,,吉山,https://en.wikipedia.org/wiki/List_of_cities_in_China
37,利民路,Liminlu,Anhui,安徽,31.3188,118.3629,,,利民路,https://en.wikipedia.org/wiki/List_of_cities_in_China
38,靈城,Lingcheng,Anhui,安徽,33.5377,117.5336,,,灵城,https://en.wikipedia.org/wiki/List_of_cities_in_China
39,臨泉城關鎮,Linquan Chengguanzhen,Anhui,安徽,33.0851,115.2902,,,临泉城关镇,https://en.wikipedia.org/wiki/List_of_cities_in_China
40,六安,Liu'an,Anhui,安徽,31.735456,116.520139,市,Municipality,六安,https://github.com/boyan01/ChinaRegionDistrict
41,立信城關鎮,Lixin Chengguanzhen,Anhui,安徽,33.1433,116.2272,,,立信城关镇,https://en.wikipedia.org/wiki/List_of_cities_in_China
42,龍城,Longcheng,Anhui,安徽,34.1845,116.9508,,,龙城,https://en.wikipedia.org/wiki/List_of_cities_in_China
43,鹿城,Lucheng,Anhui,安徽,31.2336,117.2806,,,鹿城,https://en.wikipedia.org/wiki/List_of_cities_in_China
44,馬鞍山,Maanshan,Anhui,安徽,31.67044,118.507011,市,Municipality,马鞍山,https://github.com/boyan01/ChinaRegionDistrict
45,美城,Meicheng,Anhui,安徽,30.6412,116.5689,,,美城,https://github.com/boyan01/ChinaRegionDistrict
46,眉山,Meishan,Anhui,安徽,31.7291,115.9124,,,眉山,https://en.wikipedia.org/wiki/List_of_cities_in_China
47,蒙城城關鎮,Mengcheng Chengguanzhen,Anhui,安徽,33.2661,116.5661,,,蒙城城关镇,https://en.wikipedia.org/wiki/List_of_cities_in_China
48,七里,Qili,Anhui,安徽,30.1991,117.478,,,七里,https://en.wikipedia.org/wiki/List_of_cities_in_China
49,岐山,Qishan,Anhui,安徽,29.8443,117.7194,,,岐山,https://en.wikipedia.org/wiki/List_of_cities_in_China
50,榮成,Rongcheng,Anhui,安徽,30.6428,117.8352,,,荣成,https://en.wikipedia.org/wiki/List_of_cities_in_China
51,三江,Sanjiang,Anhui,安徽,31.3481,118.3613,,,三江,https://en.wikipedia.org/wiki/List_of_cities_in_China
52,上派,Shangpai,Anhui,安徽,31.7456,117.1611,,,上派,https://en.wikipedia.org/wiki/List_of_cities_in_China
53,壽春,Shouchun,Anhui,安徽,32.5816,116.7929,,,寿春,https://en.wikipedia.org/wiki/List_of_cities_in_China
54,蜀城城關鎮,Shucheng Chengguanzhen,Anhui,安徽,31.4745,116.9521,,,蜀城城关镇,https://en.wikipedia.org/wiki/List_of_cities_in_China
55,四成,Sicheng,Anhui,安徽,33.4894,117.8568,,,四成,https://en.wikipedia.org/wiki/List_of_cities_in_China
57,遂溪,Suixi,Anhui,安徽,33.8907,116.7747,,,遂溪,https://en.wikipedia.org/wiki/List_of_cities_in_China
59,宿州,Suzhou,Anhui,安徽,33.647309,116.964195,市,Municipality,宿州,https://github.com/boyan01/ChinaRegionDistrict
61,太和城關鎮,Taihe Chengguanzhen,Anhui,安徽,33.1655,115.6489,,,太和城关镇,https://en.wikipedia.org/wiki/List_of_cities_in_China
62,桃州,Taozhou,Anhui,安徽,30.8956,119.411,,,桃州,https://github.com/boyan01/ChinaRegionDistrict
63,天長,Tianchang,Anhui,安徽,32.6853,119.0041,,,天长,https://github.com/boyan01/ChinaRegionDistrict
64,天堂,Tiantang,Anhui,安徽,30.85,116.35,,,天堂,https://en.wikipedia.org/wiki/List_of_cities_in_China
65,銅陵,Tongling,Anhui,安徽,30.945515,117.81154,市,Municipality,铜陵,https://github.com/boyan01/ChinaRegionDistrict
